word	count
phòng	6726
khách	5189
sạn	4059
vụ	3808
tiện	3277
không	3260
nhân	3208
viên	3186
sạch	3028
ốc	2381
giá	2325
dịch	2287
tốt	2258
nghi	2256
đủ	1973
đầy	1856
đây	1850
trí	1754
vị	1650
cả	1628
phục	1567
sinh	1555
vệ	1536
nghỉ	1471
lòng	1383
chất	1368
hài	1366
resort	1346
như	1302
đà	1292
lượng	1205
hợp	1161
ăn	1157
lạt	1079
tình	1051
trang	1015
đẹp	1005
nhiệt	963
ổn	880
sáng	847
thiết	835
thuận	787
vui	764
vừa	763
vẻ	760
chung	724
cảm	718
1	693
nhìn	693
lắm	690
mái	687
hotel	684
sự	678
thoải	676
thiện	674
thoáng	669
qua	656
thân	642
tương	640
hàng	639
gian	638
lịch	635
độ	625
thái	618
gần	603
nhận	602
ngơi	600
mát	599
để	591
thứ	590
ok	582
chưa	575
rộng	575
đều	561
cấp	553
cầu	540
lý	535
cung	511
dụng	511
điểm	510
