category	word	count
CLEANLINESS	phòng	203
CLEANLINESS	không	171
CLEANLINESS	sạch	96
CLEANLINESS	sinh	76
CLEANLINESS	vệ	73
COMFORT	phòng	215
COMFORT	không	197
COMFORT	khách	107
COMFORT	sạn	81
COMFORT	hài	70
DESIGN&FEATURES	phòng	245
DESIGN&FEATURES	không	161
DESIGN&FEATURES	nhỏ	83
DESIGN&FEATURES	khách	70
DESIGN&FEATURES	sạn	58
GENERAL	không	371
GENERAL	phòng	337
GENERAL	khách	274
GENERAL	sạn	199
GENERAL	nhân	149
MISCELLANEOUS	không	187
MISCELLANEOUS	phòng	145
MISCELLANEOUS	khách	110
MISCELLANEOUS	nước	78
MISCELLANEOUS	sạn	67
PRICES	giá	56
PRICES	không	47
PRICES	phòng	30
PRICES	tiền	23
PRICES	khách	21
QUALITY	không	276
QUALITY	phòng	246
QUALITY	cũ	158
QUALITY	khách	144
QUALITY	sạn	119
STYLE&OPTIONS	sáng	122
STYLE&OPTIONS	ăn	100
STYLE&OPTIONS	món	95
STYLE&OPTIONS	không	88
STYLE&OPTIONS	bữa	61
