category	word	count
CLEANLINESS	phòng	1186
CLEANLINESS	sạch	997
CLEANLINESS	tiện	552
CLEANLINESS	ốc	498
CLEANLINESS	nghi	482
COMFORT	lòng	541
COMFORT	hài	530
COMFORT	khách	440
COMFORT	phòng	435
COMFORT	sạn	382
DESIGN&FEATURES	phòng	529
DESIGN&FEATURES	đẹp	266
DESIGN&FEATURES	sạch	234
DESIGN&FEATURES	không	228
DESIGN&FEATURES	khách	224
GENERAL	khách	2425
GENERAL	phòng	2247
GENERAL	vụ	2021
GENERAL	nhân	1848
GENERAL	sạn	1827
MISCELLANEOUS	khách	26
MISCELLANEOUS	sạn	20
MISCELLANEOUS	phòng	17
MISCELLANEOUS	không	11
MISCELLANEOUS	ăn	10
PRICES	giá	602
PRICES	cả	411
PRICES	hợp	320
PRICES	vụ	312
PRICES	phòng	271
QUALITY	phòng	332
QUALITY	chất	326
QUALITY	lượng	312
QUALITY	khách	269
QUALITY	sạn	235
STYLE&OPTIONS	sáng	93
STYLE&OPTIONS	ăn	78
STYLE&OPTIONS	bữa	52
STYLE&OPTIONS	món	51
STYLE&OPTIONS	ngon	41
