=== Task 4: Orders by year and month (year asc, month desc) ===

Year   Month  OrderCount
------------------------------
2022   12     1
2022   10     324
2022   9      4
2023   12     5,673
2023   11     7,544
2023   10     4,631
2023   9      4,285
2023   8      4,331
2023   7      4,026
2023   6      3,245
2023   5      3,700
2023   4      2,404
2023   3      2,682
2023   2      1,780
2023   1      800
2024   10     4
2024   9      16
2024   8      6,512
2024   7      6,292
2024   6      6,167
2024   5      6,873
2024   4      6,939
2024   3      7,211
2024   2      6,728
2024   1      7,269
